"demarcacion","nombre_alcaldia","distrito_local","seccion"
14,"BENITO JUAREZ",18,4337
14,"BENITO JUAREZ",18,4338
14,"BENITO JUAREZ",18,4339
14,"BENITO JUAREZ",18,4341
14,"BENITO JUAREZ",18,4342
14,"BENITO JUAREZ",18,4343
14,"BENITO JUAREZ",18,4344
14,"BENITO JUAREZ",18,4345
14,"BENITO JUAREZ",18,4346
14,"BENITO JUAREZ",18,4348
14,"BENITO JUAREZ",18,4349
14,"BENITO JUAREZ",18,4350
14,"BENITO JUAREZ",18,4351
14,"BENITO JUAREZ",18,4352
14,"BENITO JUAREZ",18,4353
14,"BENITO JUAREZ",18,4365
14,"BENITO JUAREZ",18,4366
14,"BENITO JUAREZ",18,4367
14,"BENITO JUAREZ",18,4368
14,"BENITO JUAREZ",18,4369
14,"BENITO JUAREZ",18,4370
14,"BENITO JUAREZ",18,4371
14,"BENITO JUAREZ",18,4372
14,"BENITO JUAREZ",18,4391
14,"BENITO JUAREZ",18,4392
14,"BENITO JUAREZ",18,4393
14,"BENITO JUAREZ",18,4394
14,"BENITO JUAREZ",18,4395
14,"BENITO JUAREZ",18,4396
14,"BENITO JUAREZ",18,4397
14,"BENITO JUAREZ",18,4408
14,"BENITO JUAREZ",18,4409
14,"BENITO JUAREZ",18,4410
14,"BENITO JUAREZ",18,4411
14,"BENITO JUAREZ",18,4412
14,"BENITO JUAREZ",18,4413
14,"BENITO JUAREZ",18,4414
14,"BENITO JUAREZ",18,4415
14,"BENITO JUAREZ",18,4416
14,"BENITO JUAREZ",18,4417
14,"BENITO JUAREZ",18,4418
14,"BENITO JUAREZ",18,4419
14,"BENITO JUAREZ",18,4420
14,"BENITO JUAREZ",18,4421
14,"BENITO JUAREZ",18,4422
14,"BENITO JUAREZ",18,4423
14,"BENITO JUAREZ",18,4424
14,"BENITO JUAREZ",18,4425
14,"BENITO JUAREZ",18,4426
14,"BENITO JUAREZ",18,4427
14,"BENITO JUAREZ",18,4428
14,"BENITO JUAREZ",18,4429
14,"BENITO JUAREZ",18,4446
